Title Produk,Deskripsi ,Brand,Tipe,Seri,Foto (min 1),Range Harga,Release Date,Link Shopee,Link Tokopedia,Link Youtube #1,Link Youtube #2,Link Youtube #3,Link Tiktok #1,Link Tiktok #2,Link Tiktok #2
Dell XPS 13,"Laptop ultrabook dengan desain premium dan performa yang tangguh. Dilengkapi dengan layar InfinityEdge 4K UHD, prosesor Intel Core Generasi ke-11, dan baterai tahan lama.",Dell,Laptop,XPS 13,https://www.cnet.com/a/img/resize/4fd34d839bb11d2de54a60c8e13caaa7b539e3aa/hub/2022/10/11/28f6b83c-0e42-4603-ae6f-78da24661635/dell-xps-13-2022-a.jpg?auto=webp&fit=crop&height=1200&width=1200,Rp. 20.000.000 - Rp. 30.000.000,"Januari 7, 2021",,,https://youtu.be/7IBDxRBUk9A,https://youtu.be/fcx9RZ4tEq4,https://youtu.be/sv5YIuWBBRg,https://www.tiktok.com/@gudanglaptop.btm/video/7184263931161070874?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@techfresh66/video/7111981803732307226?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@le_captawesome/video/7221592113752952069?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Huawei Watch GT 2 Pro,"Smartwatch dengan desain elegan dan fitur pemantauan kesehatan yang komprehensif. Dilengkapi dengan layar AMOLED, GPS, dan baterai tahan lama untuk penggunaan yang lama.",Huawei,Smartwatch,Watch GT 2 Pro,https://cdn.mos.cms.futurecdn.net/e2NTx89RuoQVtNayf9xut3.jpg,Rp. 4.999.000 - Rp. 5.999.000,September 2020,,,https://youtu.be/ZvLIlOAP80o,https://youtu.be/BgZXFwLMXoQ,https://youtu.be/E1VgwxvD29Y,https://www.tiktok.com/@jamtangan.com/video/7017446118539709723?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@huaweimobileco/video/6894767137890553089?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@kampretcenol/video/7237400800178408710?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Xiaomi Redmi Note 10 Pro,"Smartphone dengan kamera 108MP yang canggih dan layar AMOLED yang indah. Dilengkapi dengan baterai tahan lama, prosesor Snapdragon, dan fitur pengisian daya cepat.",Xiaomi,Smartphone,Redmi Note 10 Pro,https://i01.appmifile.com/webfile/globalimg/products/m/redmi-note-10-pro/Specheader_03s.jpg,Rp. 3.499.000 - Rp. 3.999.000,"Maret 4, 2021",,,https://youtu.be/psVtwDY5EEI,https://youtu.be/o0LzUtEhBxc,https://youtu.be/YEFoVleRs_Y,https://www.tiktok.com/@yoo_tooo/video/7009889663548689666?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@darmawanrs22/video/7185735867598671131?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@atlantisdahsyat/video/6981718380730518785?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Bose QuietComfort Earbuds,Earbuds nirkabel dengan kualitas suara yang luar biasa dan fitur noise-cancellation yang canggih. Dilengkapi dengan desain in-ear yang nyaman dan tahan air.,Bose,Earbuds,QuietComfort Earbuds,https://cdn.vox-cdn.com/thumbor/z8OmTC5dqCue5V0UM_ZVfW4RltI=/0x0:2040x1360/1400x1400/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/24024005/DSCF9291_3.jpg,Rp. 4.999.000 - Rp. 5.999.000,September 2020,,,https://youtu.be/vk9xJP1oJjg,https://youtu.be/6NhsSl7bgR0,https://youtu.be/zYeY2VbZodE,https://www.tiktok.com/@wisnukumoro_official/video/7131256763902397723?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@epicluvv/video/7029768114485169413?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@heartdefensor/video/7032021926919048495?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Lenovo Legion 5,"Laptop gaming dengan performa tinggi dan desain yang keren. Dilengkapi dengan prosesor AMD Ryzen dan kartu grafis NVIDIA GeForce, serta layar dengan refresh rate tinggi untuk pengalaman gaming yang mulus.",Lenovo,Laptop,Legion 5,https://www.lenovo.com/medias/Legion5-15-AMD-88GMY501444-725x515.png?context=bWFzdGVyfHJvb3R8MjI5NDI2fGltYWdlL3BuZ3xoMDUvaDZiLzExNjQ5NjIxMjk1MTM0LnBuZ3wzMjNjNjdhNWYyYjFmMGRmMGY4MzIxZDhlYTM0ZjNkZjhjYjc4ZGY2MzdmMmYwZmRkOTAyYWUzZTZkYTU2ZmMw,Rp. 15.999.000 - Rp. 19.999.000,November 2020,,,https://youtu.be/9bWgPVydIK0,https://youtu.be/-bcwIIxoYAY,https://youtu.be/Oo63IymmgPg,https://www.tiktok.com/@alrezf/video/7102398355594317057?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@imnotikyy/video/7025859672414440730?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@kharismakencana/video/7190962342216125723?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
JBL Flip 5,Speaker portabel dengan suara yang kaya dan tahan air. Dilengkapi dengan baterai tahan lama untuk pemutaran musik yang lama.,JBL,Speaker,Flip 5,https://id.jbl.com/dw/image/v2/AAUJ_PRD/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw3b7d35f2/JBL_Flip5_Product%20Photo_Side_MidnightBlack-1605x1605-DS3.png?sw=537&sfrm=png,Rp. 1.999.000 - Rp. 2.499.000,Oktober 2019,,,https://youtu.be/-HKJQ4rT-C8,https://youtu.be/SYEac_VI3NA,https://youtu.be/ZNuKqLtVDHQ,https://www.tiktok.com/@arifreyy/video/7120321799304351002?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@putraz99/video/7171835169052036378?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@feelthatbass/video/7225669946909543706?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Canon EOS R5,Kamera mirrorless dengan sensor full-frame 45.7MP dan sistem fokus yang cepat dan akurat. Dilengkapi dengan layar sentuh yang dapat ditekuk dan stabilisasi gambar 5-axis.,Canon,Kamera,EOS R5,https://i0.wp.com/cdnimg.tcsc.my.id/2022/01/Canon-EOS-R5-C-Kamera-Terkecil-Dari-Pabrikan-Yang-Satu-Ini.jpg,Rp. 69.999.000 - Rp. 79.999.000,Juli 2020,,,https://youtu.be/KQ8UijPvkQc,https://youtu.be/Yh_5w2CP1dE,https://youtu.be/NaqDznwjL2U,https://www.tiktok.com/@sekikazuya/video/7214069031895158017?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@liliesandblinks/video/7189610250507406618?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@urrofi_/video/7038088121161927963?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Apple AirPods Pro,Earbuds nirkabel dengan kualitas suara yang luar biasa dan fitur noise-cancellation yang canggih. Dilengkapi dengan desain in-ear yang nyaman dan tahan air.,Apple,Earbuds,AirPods Pro,https://www.digitaltrends.com/wp-content/uploads/2022/09/apple-airpods-pro-2-review-00025.jpeg?p=1,Rp. 3.999.000 - Rp. 4.999.000,Oktober 2019,,,https://youtu.be/ShKUE2Gk6Es,https://youtu.be/cJ8zmkYXi4I,https://youtu.be/PD7IEd0DTx4,https://www.tiktok.com/@kohcun/video/7149044025838882075?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@studymoofin/video/7139691574153202990?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@mmtechno/video/7184784063570431258?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
ASUS ROG Strix G17,"Laptop gaming dengan performa tinggi dan desain yang keren. Dilengkapi dengan prosesor AMD Ryzen dan kartu grafis NVIDIA GeForce RTX, serta layar dengan refresh rate tinggi untuk pengalaman gaming yang mulus.",ASUS,Laptop,ROG Strix G17,https://dlcdnwebimgs.asus.com/gain/D68E2936-23E4-494C-9565-256117392C1F/w1000/h732,Rp. 29.999.000 - Rp. 34.999.000,Oktober 2020,,,https://youtu.be/2L4zjHotFlI,https://youtu.be/joAn3UmsuPs,https://youtu.be/GoZtabM1wBw,https://www.tiktok.com/@itgeeks.my/video/7128309734582570267?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@puputher/video/6951897363032165633?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@murtiws01/video/7147675740677344538?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Sonos Beam,Soundbar pintar dengan suara yang kaya dan jernih. Dilengkapi dengan dukungan untuk kontrol suara dan kompatibilitas dengan layanan streaming musik populer.,Sonos,Speaker,Beam,https://musictech.com/wp-content/uploads/2021/10/Sonos-Beam-Gen-2-HERO@2000x1500.jpg,Rp. 7.999.000 - Rp. 8.999.000,Juli 2018,,,https://youtu.be/nUoiOEQXz08,https://youtu.be/TWW9oTE3vsA,https://youtu.be/55V-FK8bYGw,https://www.tiktok.com/@saraheartmann/video/7161049485584387333?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@maisyleighs/video/7162145503604428078?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@ethantglenn/video/7231236874780642566?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Microsoft Surface Pro 7,"Tablet 2-in-1 dengan performa tinggi dan desain yang elegan. Dilengkapi dengan layar sentuh PixelSense, prosesor Intel Core Generasi ke-10, dan dukungan untuk stylus Surface Pen.",Microsoft,Tablet,Surface Pro 7,https://cdn-dynmedia-1.microsoft.com/is/image/microsoftcorp/MSFT-RWGaM8-Surface-Pro-7-in-Laptop-Mode?scl=1,Rp. 17.999.000 - Rp. 19.999.000,"Oktober 22, 2019",,,https://youtu.be/CpkyCKqB3rY,https://youtu.be/k08Fi8M9DEI,https://youtu.be/D7FQch7eOQQ,https://www.tiktok.com/@helloo.iki/video/7109000143533264154?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@kabonster/video/7130322290020977966?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@lapcity93/video/6974002084391767297?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Garmin Fenix 6 Pro,"Smartwatch dengan fitur pemantauan kesehatan yang canggih dan navigasi GPS yang akurat. Dilengkapi dengan tampilan layar yang jelas dan tahan lama, serta berbagai mode olahraga.",Garmin,Smartwatch,Fenix 6 Pro,https://www.garmin.co.id/m/id/g/products/fenix-6-pro-solar-black-gray-pd-02-xl.png,Rp. 12.999.000 - Rp. 14.999.000,"Agustus 29, 2019",,,https://youtu.be/dM85dftT3fc,https://youtu.be/7dHdxBylHAI,https://youtu.be/FACoHjOOzzo,https://www.tiktok.com/@dorangadget/video/7060880883041013018?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@kharshan/video/7148441773004623106?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@blake_jacques/video/7112525619379948806?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Nikon Z7 II,Kamera mirrorless dengan sensor full-frame 45.7MP dan sistem fokus yang cepat dan akurat. Dilengkapi dengan layar sentuh yang dapat ditekuk dan stabilisasi gambar 5-axis.,Nikon,Kamera,Z7 II,https://s.yimg.com/uu/api/res/1.2/8s_G_Iy3D63E9kTYtFFwNQ--~B/aD0xMTkyO3c9MTgwMDthcHBpZD15dGFjaHlvbg--/https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2021-02/43a757f0-6494-11eb-ae9a-9a88d8a5050c.cf.jpg,Rp. 55.999.000 - Rp. 59.999.000,Oktober 2020,,,https://youtu.be/2_FUIosWb0E,https://youtu.be/xYCawtPsSY4,https://youtu.be/Wz-sGdceX1o,https://www.tiktok.com/@marthasuherman/video/6982469540059843841?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@nikonusa/video/7168893369597300011?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@wonguy/video/6991469885993880837?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Xiaomi Mi Electric Scooter Pro 2,Scooter listrik dengan desain yang elegan dan performa yang tangguh. Dilengkapi dengan motor 300W dan baterai tahan lama untuk perjalanan yang nyaman dan efisien.,Xiaomi,Electric Scooter,Mi Electric Scooter Pro 2,"https://m.media-amazon.com/images/I/51UuqFC7TuL._AC_UF894,1000_QL80_.jpg",Rp. 6.999.000 - Rp. 7.999.000,November 2020,,,https://youtu.be/RlkOJTRUoE8,https://youtu.be/OTA9NaVp7Uo,https://youtu.be/HDj6sIYNGXk,https://www.tiktok.com/@alexhus1988/video/7069155195795655942?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@fofogirl1224/video/7123136752453373230?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@neaxty_/video/7143239014240357637?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Samsung Galaxy S21 Ultra,"Smartphone flagship dengan performa tinggi dan kamera yang canggih. Dilengkapi dengan layar Dynamic AMOLED 2X yang besar, prosesor Exynos 2100/Qualcomm Snapdragon 888, dan dukungan S Pen.",Samsung,Smartphone,Galaxy S21 Ultra,https://images.samsung.com/pk/smartphones/galaxy-s21/buy/s21_ultra_basicgroup_kv_mo_img.jpg,Rp. 16.999.000 - Rp. 18.999.000,"Januari 29, 2021",,,https://youtu.be/dp6PogzQWiQ,https://youtu.be/ZLm3jVQSrHY,https://youtu.be/BagfQXYL230,https://www.tiktok.com/@milano_cell/video/7075994563395079451?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@tegarlintar/video/7166908549589699866?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@ipromax.id/video/7132030706477239578?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
Microsoft Xbox Series X,Konsol game generasi terbaru dengan performa tinggi. Mendukung grafis 4K dan ray tracing untuk pengalaman gaming yang lebih realistis.,Microsoft,Gaming Console,Xbox Series X,https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE5dlbu?ver=ef12,Rp. 7.999.000 - Rp. 9.999.000,"November 10, 2020",,,https://youtu.be/LIIO9AjBg-w,https://youtu.be/hitloeCGh98,https://youtu.be/6FCEGWr921o,https://www.tiktok.com/@topiksudirman/video/7158352595285806362?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@tronicsfixofficial/video/7200434086412913962?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@carterpcs/video/7162653488181415214?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
DJI Air 2S,Drone kamera dengan kemampuan perekaman video 5.4K. Dilengkapi dengan sensor besar dan teknologi penghindaran hambatan untuk penerbangan yang aman.,DJI,Drone,Air 2S,https://dorangadget.com/wp-content/uploads/2021/04/DJI-Mavic.jpg,Rp. 12.999.000 - Rp. 14.999.000,"April 15, 2021",,,https://youtu.be/_-LRj4il-6M,https://youtu.be/hM70DSXOiV4,https://youtu.be/UDSmwUInn5M,https://www.tiktok.com/@dorangadget/video/7104475321579097370?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@coptermarket.by/video/7166533242571476230?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978,https://www.tiktok.com/@coptermarket.by/video/7154391993169349894?is_from_webapp=1&sender_device=pc&web_id=7188372511679038978
